symbol,Name of Securities,Category,Sub-Category,Board Lot,Expiry Date,ETF / Fund Manager,Debt Securities Investor Type,Div Stock,Blue Chip,HSI
0338.HK,SHANGHAI PECHEM,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0339.HK,CORE ECON INV,Equity,Investment Companies,"10,000",,,,N,,N
0340.HK,TONGGUAN GOLD,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0341.HK,CAFE DE CORAL H,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0342.HK,NEWOCEAN ENERGY,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0343.HK,CULTURECOM HOLD,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0345.HK,VITASOY INT'L,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0346.HK,YANCHANG PETRO,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0347.HK,ANGANG STEEL,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0348.HK,CHINAHEALTHWISE,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
